No,Tema,Situasi,Pilihan Benar,Pilihan Salah
1,Sharing & Turn-Taking,Kamu sedang bermain dengan mainan kesayanganmu. Teman di sebelahmu ingin meminjamnya sebentar.,Berikan pinjaman dan minta dikembalikan setelah ia selesai bermain.,Merebut kembali dan berkata tidak mau.
2,,Kamu dan teman ingin menggunakan krayon biru yang sama untuk mewarnai gambar.,"Bergantian menggunakannya, kamu mewarnai dulu, lalu temanmu.",Merebut krayon itu agar kamu yang mewarnai lebih dulu.
3,,"Saat bermain ayunan di taman, ada teman yang sudah menunggu lama ingin giliran naik.",Turun dari ayunan setelah selesai dan persilakan temanmu naik.,Tetap bermain terus meski tahu temanmu sudah menunggu lama.
4,,"Ada sepotong kue tersisa di piring. Kamu ingin memakannya, tapi adikmu juga melihatnya.",Bagi kue menjadi dua bagian agar kalian bisa makan bersama.,Langsung memakan kue tanpa berbagi.
5,,Kamu sedang membaca buku bergambar favoritmu. Temanmu datang dan ingin membaca bersama.,Undang temanmu duduk di sampingmu dan baca bersama-sama.,Sembunyikan buku agar temanmu tidak ikut membaca.
6,Emotional Regulation,Kamu kalah dalam permainan balap mobil dan merasa sangat kesal.,"Tarik napas dalam-dalam, tersenyum, dan ucapkan 'selamat' kepada temanmu yang menang.",Melembar mobil-mobilan ke lantai karena kesal kalah.
7,,"Kamu ingin bermain dengan mainan robot, tapi kakakmu bilang kamu harus menunggu sebentar.","Bilang 'iya, aku tunggu' lalu cari kegiatan lain sambil menunggu.",Menangis keras-keras dan merengek terus menerus.
8,,Teman tidak sengaja menumpahkan air ke gambar yang sudah kamu buat dengan susah payah.,"Tarik napas, bilang 'tidak apa-apa', dan buat ulang gambarnya bersama.",Berteriak marah dan mendorong teman karena gambarmu rusak.
9,,"Kamu sangat ingin membeli es krim, tapi ibu bilang hari ini tidak bisa.","Terima keputusan ibu dan katakan 'baik bu, mungkin lain kali'.","Ngambek, banting tas, dan tidak mau berbicara dengan ibu."
10,,"Saat bermain balok, bangunan yang kamu buat tiba-tiba roboh sendiri.","Ambil napas, tersenyum, lalu mulai membangun kembali dari awal.",Menendang balok-balok itu karena merasa frustrasi.
11,Assertive Communication,Kamu ingin meminjam pensil warna milik temanmu untuk menyelesaikan gambarmu.,Bertanya dengan sopan: 'Boleh aku pinjam pensil warnamu sebentar?',Langsung ambil pensil warnanya tanpa bertanya dulu.
12,,"Temanmu mengajak bermain di luar, tapi kamu sedang tidak mau bermain di sana.","Tolak dengan sopan: 'Terima kasih, tapi aku mau bermain di sini saja ya.'",Diam saja atau pergi meninggalkan teman tanpa berkata apa pun.
13,,Kamu tidak mengerti cara melipat origami yang diajarkan bu guru.,"Angkat tangan dan tanya: 'Bu, boleh saya minta diajari lagi?'",Diam-diam menyalin teman di sebelah tanpa mau bertanya.
14,,Seorang teman terus-terusan menyentuh barang-barangmu meski kamu sudah terlihat tidak nyaman.,"Katakan dengan tenang: 'Tolong jangan pegang barangku ya, aku tidak suka.'",Langsung dorong tangan temanmu karena kesal.
15,,Kamu ingin membantu ibu membawakan belanjaan yang berat.,"Tawarkan bantuan: 'Bu, boleh aku bantu bawakan tasnya?'",Langsung tarik tas belanjaan dari tangan ibu tanpa bilang apa-apa.
16,Empathy & Prosocial Behavior,Temanmu terjatuh di halaman sekolah dan lututnya terluka. Ia menangis kesakitan.,"Hampiri, tanya 'kamu baik-baik saja?', dan panggil bu guru untuk membantu.",Tertawa melihatnya jatuh lalu lanjut bermain sendiri.
17,,Temanmu terlihat sedih sendirian di pojok kelas karena tidak diajak bermain.,Dekati dan ajak: 'Kamu mau ikut bermain bersama kami?',Biarkan saja ia duduk sendiri dan lanjutkan bermain.
18,,Kamu tidak sengaja menabrak dan menjatuhkan gambar teman hingga kotor.,Minta maaf dengan tulus dan bantu membersihkan atau membuatnya gambar baru.,Pura-pura tidak melihat dan langsung pergi.
19,,Adikmu menangis karena mainan kesayangannya rusak.,"Peluk adik dan katakan 'aku ikut sedih, mau aku temani kamu?'","Bilang 'sudah diam, itu cuma mainan' dan tinggalkan adikmu sendiri."
20,,Temanmu baru pindah sekolah dan terlihat bingung tidak tahu harus ke mana.,"Hampiri dan tawarkan bantuan: 'Hai, aku antar kamu ke kelas kita ya!'",Acuhkan temanmu yang baru karena kamu tidak mengenalnya.
21,Self-Control & Responsibility,Bu guru meminta semua anak merapikan mainan sebelum waktu makan siang tiba.,Langsung membereskan mainanmu dan bantu teman yang masih kebingungan.,Terus bermain dan pura-pura tidak mendengar perintah bu guru.
22,,"Saat antre mencuci tangan, kamu melihat ada celah di barisan untuk 'menyalip'.",Tetap berdiri di tempat antrianmu dan sabar menunggu giliran.,Masuk menyalip ke depan agar lebih cepat mendapat giliran.
23,,Bu guru sedang menjelaskan sesuatu di depan kelas. Temanmu mengajakmu berbicara.,Bisikkan 'nanti saja ya' dan fokus mendengarkan bu guru.,Berbicara keras-keras dengan temanmu sehingga mengganggu kelas.
24,,"Selesai makan, kamu diminta membuang bungkus makananmu ke tempat sampah.",Buang bungkusnya ke tempat sampah yang benar dengan rapi.,Tinggalkan bungkusnya di meja karena malas berjalan ke tempat sampah.
25,,"Saat bermain di dalam kelas, ada aturan tidak boleh berlari.",Berjalan pelan dan ingatkan teman yang berlari dengan sopan.,Berlari-lari di dalam kelas karena merasa aturannya tidak penting.
26,Simple Conflict Resolution,Kamu dan teman menginginkan boneka yang sama untuk dimainkan. Hanya ada satu.,"Usul bermain bergantian: 'Kamu dulu 5 menit, lalu aku ya?'",Tarik boneka itu dari tangan teman sampai hampir sobek.
27,,Temanmu tidak sengaja menumpahkan cat ke bajumu saat kalian melukis bersama.,"Katakan 'tidak apa-apa, aku tahu kamu tidak sengaja' dan lanjutkan melukis.",Balas menumpahkan cat ke bajunya sebagai 'balasan'.
28,,Kamu dan teman berselisih tentang siapa yang akan menjadi pemimpin dalam permainan.,Usulkan hom-pim-pa atau bergantian menjadi pemimpin setiap ronde.,Ngambek dan ancam tidak mau bermain jika bukan kamu yang jadi pemimpin.
29,,Temanmu berkata kata-kata yang membuatmu tersinggung dan sedih.,Katakan dengan tenang: 'Kata-katamu membuatku sedih. Tolong jangan begitu lagi.',Balas mengatakan kata-kata yang lebih menyakitkan agar kamu merasa menang.
30,,"Teman menuduh kamu mengambil penghapusnya, padahal kamu tidak melakukannya.",Jelaskan dengan tenang: 'Aku tidak mengambilnya. Mari kita cari bersama.',Balik berteriak marah dan menuduh temanmu pembohong.